title,authors,year,doi,url,publisher,type,reference_count,is_referenced_by_count
Ridge tillage increased halophyte fine root production and turnover rates by altering soil properties in an abandoned farmland in northwest China,"Xu Zheng, Chao-qun Chen, Lu-hua Li, Jia-ping Wang",2023,10.1016/j.rhisph.2023.100742,https://doi.org/10.1016/j.rhisph.2023.100742,Elsevier BV,journal-article,49,3
The Potential of Biodiesel Production from Fatty Acid Methyl Esters of Some European/Mediterranean and Cosmopolitan Halophyte Seed Oils,"Vassilios T. Sotiroudis, Theodore G. Sotiroudis, Fragiskos N. Kolisis",2010,10.1520/jai102565,https://doi.org/10.1520/jai102565,ASTM International,journal-article,57,2
"Salt effect on growth, photosynthesis, seed yield and oil composition of the potential crop halophyte Cakile maritima","Ahmed Debez, Wael Taamalli, Dhouha Saadaoui, Zeineb Ouerghi, Mokhtar Zarrouk, Bernhard Huchzermeyer, Chedly Abdelly",,10.1007/3-7643-7610-4_6,https://doi.org/10.1007/3-7643-7610-4_6,Birkhäuser Basel,book-chapter,22,7
Maternal salinity environment affects salt tolerance during germination in Anabasis setifera: A facultative desert halophyte,"Ali El-Keblawy, Sanjay Gairola, Arvind Bhatt",2016,10.1007/s40333-015-0023-2,https://doi.org/10.1007/s40333-015-0023-2,Elsevier BV,journal-article,47,56
"Differential responses of growth, metals accumulation, oxidative stress and Osmo-compatible solutes in the Halophyte Tamarix gallica under Arsenic and Aluminum stress alone or combined with salt","Dhouha Belhadj SGHAIER, Bernardo Duarte, Isabel CAÇADOR, Noomene SLEIMI",2022,10.21203/rs.3.rs-1839955/v1,https://doi.org/10.21203/rs.3.rs-1839955/v1,Research Square Platform LLC,posted-content,0,0
"Comparative effects of neutral salt and alkaline salt stress on seed germination, early seedling growth and physiological response of a halophyte species Chenopodium glaucum","Shasha Chen,",2012,10.5897/ajb12.320,https://doi.org/10.5897/ajb12.320,Academic Journals,journal-article,0,11
Gene Expression in Suspension Culture Cells of The Halophyte Distichlis spicata during Adaptation to High Salt1,"Zhifan Zhao, James W. Heyser, Hans J. Bohnert",1989,10.1093/oxfordjournals.pcp.a077817,https://doi.org/10.1093/oxfordjournals.pcp.a077817,Oxford University Press (OUP),journal-article,0,13
"Bacillus chagannorensis sp. nov., a moderate halophile from a soda lake in Inner Mongolia, China","I. J. Carrasco, M. C. Márquez, Y. Xue, Y. Ma, D. A. Cowan, B. E. Jones, W. D. Grant, A. Ventosa",2007,10.1099/ijs.0.65162-0,https://doi.org/10.1099/ijs.0.65162-0,Microbiology Society,journal-article,31,43
Stereological Analysis of Leaf Cells of the Halophyte<i>Suaeda maritima</i>(L.) Dum,"M. A. HAJIBAGHERI, J. L. HALL, T. J. FLOWERS",1984,10.1093/jxb/35.10.1547,https://doi.org/10.1093/jxb/35.10.1547,Oxford University Press (OUP),journal-article,0,59
Biology and Ecology of the Halophyte Laguncularia racemosa (L.) Gaertn. f.: A Review,"Robert I. Lonard, Frank W. Judd, Hudson R. DeYoe, Richard Stalter",2020,10.1007/978-3-030-17854-3_71-2,https://doi.org/10.1007/978-3-030-17854-3_71-2,Springer International Publishing,book-chapter,52,1
Identification and Expression Analysis of a Novel HbCIPK2-Interacting Ferredoxin from Halophyte H. brevisubulatum,"Chao Zhang, Rongchao Ge, Junwen Zhang, Yajuan Chen, Hongzhi Wang, Jianhua Wei, Ruifen Li",2015,10.1371/journal.pone.0144132,https://doi.org/10.1371/journal.pone.0144132,Public Library of Science (PLoS),journal-article,22,6
Selection of a halophyte that could be used in the bioreclamation of salt-affected soils in arid and semi-arid regions,"Mokded Rabhi, Ons Talbi, Abdallah Atia, Chedly Abdelly, Abderrazak Smaoui",,10.1007/978-3-7643-8554-5_22,https://doi.org/10.1007/978-3-7643-8554-5_22,Birkhäuser Basel,book-chapter,16,21
Germination and Dormancy in Annual  Halophyte &lt;i&gt;Juncus ranarius&lt;/i&gt; Song &amp;amp; Perr.,"Jeremi KOŁODZIEJEK, Jacek PATYKOWSKI",2015,10.15835/nbha4329752,https://doi.org/10.15835/nbha4329752,University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca,journal-article,0,1
RNA-seq Transcriptome Profiling of the Halophyte Salicornia persica in Response to Salinity,"Massumeh Aliakbari, Hooman Razi, Abbas Alemzadeh, Elahe Tavakol",2020,10.1007/s00344-020-10134-z,https://doi.org/10.1007/s00344-020-10134-z,Springer Science and Business Media LLC,journal-article,95,15
Effects of Insect Herbivory on Physiological and Biochemical (Oxidative Enzyme) Responses of the Halophyte Atriplex subspicata (Chenopodiaceae),"P. D. Nabity, T. M. Heng-Moss, L. G. Higley",2006,10.1093/ee/35.6.1677,https://doi.org/10.1093/ee/35.6.1677,Oxford University Press (OUP),journal-article,45,16
Physiological and Biochemical Responses Reveal the Drought Tolerance Efficacy of the Halophyte Salicornia brachiata,"Asish Kumar Parida, Bhavanath Jha",2012,10.1007/s00344-012-9303-7,https://doi.org/10.1007/s00344-012-9303-7,Springer Science and Business Media LLC,journal-article,58,51
Spinach (Spinacia oleracea) has epidermal bladder cells and exhibits characteristics of a facultative halophyte,"Clarissa Buarque Vieira, Jorge F. S. Ferreira, Devinder Sandhu, Sol Sepsenwol, Maria Betânia G. S. Freire",2025,10.1038/s42003-025-08936-6,https://doi.org/10.1038/s42003-025-08936-6,Springer Science and Business Media LLC,journal-article,51,0
A novel NhaD-type Na<sup>+</sup>/H<sup>+</sup> antiporter from the moderate halophile and alkaliphile <i>Halomonas alkaliphila</i>,"Yanhong Wang, Na Song, Lina Yang, Heba Abdel-motaal, Rui Zhang, Zhenglai Zhang, Fankui Meng, Juquan Jiang",2017,10.1139/cjm-2017-0104,https://doi.org/10.1139/cjm-2017-0104,Canadian Science Publishing,journal-article,52,14
The Genome of the Moderate Halophile Amycolicicoccus subflavus DQS3-9A1T Reveals Four Alkane Hydroxylation Systems and Provides Some Clues on the Genetic Basis for Its Adaptation to a Petroleum Environment,"Yong Nie, Hui Fang, Yan Li, Chang-Qiao Chi, Yue-Qin Tang, Xiao-Lei Wu",2013,10.1371/journal.pone.0070986,https://doi.org/10.1371/journal.pone.0070986,Public Library of Science (PLoS),journal-article,52,36
Nutritional and physiological responses of the dicotyledonous halophyte Sarcocornia fruticosa to salinity,"Pedro García-Caparrós, Alfonso Llanderal, Maribela Pestana, Pedro José Correia, María Teresa Lao",2017,10.1071/bt17100,https://doi.org/10.1071/bt17100,CSIRO Publishing,journal-article,62,19
Biosaline Agriculture and Halophyte Utilization: Sustainable Solutions for Soil Salinization and Climate-Resilient Food Systems,Sakae Agarie,2026,10.1007/978-981-95-2754-0_10,https://doi.org/10.1007/978-981-95-2754-0_10,Springer Nature Singapore,book-chapter,101,0
Germination ecology of the aromatic halophyte Artemisia caerulescens L.: influence of abiotic factors and seed after-ripening time,"Tiziana Lombardi, Stefano Bedini, Andrea Bertacchi",2019,10.1007/s12224-019-09345-4,https://doi.org/10.1007/s12224-019-09345-4,Springer Science and Business Media LLC,journal-article,48,13
Physiological and Biochemical Determinants of Halophyte Adaptive Strategies,"O. A. Rozentsvet, V. N. Nesterov, A. A. Kosobryukhov, E. S. Bogdanova, G. S. Rozenberg",2021,10.1134/s1067413621010124,https://doi.org/10.1134/s1067413621010124,Pleiades Publishing Ltd,journal-article,33,6
Bacterial endophytes from halophyte black saxaul (Haloxylon aphyllum Minkw.) and their plant growth-promoting properties,"Shurigin Vyacheslav, Alikulov Begali, Davranov Kakhramon, Ismailov Zafar",2022,10.7324/jabb.2021.100106,https://doi.org/10.7324/jabb.2021.100106,Open Science Publishers LLP,journal-article,0,2
Effect of saline water on seed germination and early seedling growth of the halophyte quinoa,"M. R. Panuccio, S. E. Jacobsen, S. S. Akhtar, A. Muscolo",2014,10.1093/aobpla/plu047,https://doi.org/10.1093/aobpla/plu047,Oxford University Press (OUP),journal-article,72,169
EFFECTS OF PHENOLOGICAL STAGE ON FORAGE QUALITY OF HALOPHYTE SPECIES SALSOLA ARBUSCULA PALL. IN THE CENTRAL DESERT OF IRAN,M ABTAHI,2017,10.15666/aeer/1503_901909,https://doi.org/10.15666/aeer/1503_901909,ALOKI Ltd,journal-article,0,10
Dormancy cycling and persistence of seeds in soil of a cold desert halophyte shrub,"Dechang Cao, Carol C. Baskin, Jerry M. Baskin, Fan Yang, Zhenying Huang",2013,10.1093/aob/mct256,https://doi.org/10.1093/aob/mct256,Oxford University Press (OUP),journal-article,41,42
Composition of Fatty Acids of Lipids of Halophyte Leaves during Adaptation to Saline Soil Using the Example of Plants from the Elton Region,V. N. Nesterov,2024,10.1134/s1995425524700410,https://doi.org/10.1134/s1995425524700410,Pleiades Publishing Ltd,journal-article,32,0
Spatial Distribution of Soil Salinity and Management Aspects in the Northern United Arab Emirates,"Mahmoud A. Abdelfattah, Shabbir A. Shahid",2014,10.1007/978-94-007-7411-7_1,https://doi.org/10.1007/978-94-007-7411-7_1,Springer Netherlands,book-chapter,53,1
Adaptive mechanism of stress tolerance in Urochondra (grass halophyte) using roots study,"CHARU LATA, SHOBHA SONI, NARESH KUMAR, ASHWANI KUMAR, POOJA POOJA, ANITA MANN, SULEKHA RANI",2019,10.56093/ijas.v89i6.90834,https://doi.org/10.56093/ijas.v89i6.90834,"Indian Council of Agricultural Research, Directorate of Knowledge Management in Agriculture",journal-article,18,14
"Complete genome sequence of Microbulbifer sp. CCB-MM1, a halophile isolated from Matang Mangrove Forest, Malaysia","Tsu Horng Moh, Nyok-Sean Lau, Go Furusawa, Al-Ashraf Abdullah Amirul",2017,10.1186/s40793-017-0248-0,https://doi.org/10.1186/s40793-017-0248-0,Springer Science and Business Media LLC,journal-article,75,14
"Transformation of a CAM plant, the facultative halophyte Mesembryanthemum crystallinum by Agrobacterium tumefaciens",Ken Ishimaru,1999,10.1023/a:1006225212298,https://doi.org/10.1023/a:1006225212298,Springer Science and Business Media LLC,journal-article,10,17
"Chemical composition, antioxidant, anti-diabetic, and cytotoxic properties of the halophyte Frankenia laevis L","M Rodrigues, J Jekő, Z Cziáky, C Pereira, L Custódio",2022,10.1055/s-0042-1759307,https://doi.org/10.1055/s-0042-1759307,Georg Thieme Verlag KG,journal-article,4,0
Chloride Accumulation as a Homeostatic System: Negative Feedback Signals for Concentration and Turgor Maintenance Differ in a Glycophyte and a Halophyte,WJ Cram,1980,10.1071/pp9800237,https://doi.org/10.1071/pp9800237,CSIRO Publishing,journal-article,0,11
A COMPARISON OF CHELATOR-FACILITATED METAL UPTAKE BY A HALOPHYTE AND A GLYCOPHYTE,"Fiona L. Jordan, Molly Robin-Abbott, Raina M. Maier, Edward P. Glenn",2002,10.1897/1551-5028(2002)021<2698:acocfm>2.0.co;2,https://doi.org/10.1897/1551-5028(2002)021<2698:acocfm>2.0.co;2,Oxford University Press (OUP),journal-article,0,1
"The complete chloroplast genome of the halophyte flowering plant Suaeda monoica from Jeddah, Saudi Arabia",Rana M. Alshegaihi,2024,10.1007/s11033-023-09069-x,https://doi.org/10.1007/s11033-023-09069-x,Springer Science and Business Media LLC,journal-article,58,5
Effect of salt habitat on the phytochemical composition of the halophyte Arthrocnemum macrostachyum,"Sherweet M. El-Afify, Omer A. El-Shehaby, Yasser El-Amier",2022,10.21608/mjb.2022.456326,https://doi.org/10.21608/mjb.2022.456326,Egyptian Knowledge Bank,journal-article,0,0
Insights into the Endophytic Bacterial Community Comparison and their Potential Role in the Dimorphic Seeds of Halophyte Suaeda Glauca,"Hongfei Wang, Manik Prabhu Narsing Rao, Yanli Gao, Xinyang Li, Rui Gao, Yuanguo Xie, Qiuli Li, Wenjun Li",2021,10.21203/rs.3.rs-153202/v1,https://doi.org/10.21203/rs.3.rs-153202/v1,Research Square Platform LLC,posted-content,0,0
Rhizosphere Properties in Salt Marshes are Shaped by Both Soil Genetic Horizons and Halophyte Species,"Valeria Cardelli, Andrea Salvucci, Dominique Serrani, Lorenzo Camponi, Chiara Ruspi, Debora Casagrande Pierantoni, Laura Corte, Gianluigi Cardinali, Flavio Fornasier, Stefania Cocco, Giuseppe Corti",2024,10.2139/ssrn.4900138,https://doi.org/10.2139/ssrn.4900138,Elsevier BV,posted-content,81,0
Performance of the edible halophyte Cakile maritima under critical magnesium and potassium thresholds,"Hayet Houmani, Ons Talbi Zribi, Ahmed Debez",2024,10.56027/joasd.222024,https://doi.org/10.56027/joasd.222024,Arid Regions Institute,journal-article,0,0
SsHKT1;1 is a potassium transporter of the C3 halophyte Suaeda salsa that is involved in salt tolerance,"Qun Shao, Ning Han, Tonglou Ding, Feng Zhou, Baoshan Wang",2014,10.1071/fp13265,https://doi.org/10.1071/fp13265,CSIRO Publishing,journal-article,38,91
"Erythrobacter suaedae sp. nov., isolated from a rhizosphere mudflat of a halophyte (Suaeda japonica)","Soon Dong Lee, Young-Ju Kim, In Seop Kim",2019,10.1099/ijsem.0.003625,https://doi.org/10.1099/ijsem.0.003625,Microbiology Society,journal-article,29,15
Using the Halophyte Crithmum maritimum in Green Roofs for Sustainable Urban Horticulture: Effect of Substrate and Nutrient Content Analysis including Potentially Toxic Elements,"Aikaterini N. Martini, Maria Papafotiou, Ioannis Massas, Nikoleta Chorianopoulou",2022,10.3390/su14084713,https://doi.org/10.3390/su14084713,MDPI AG,journal-article,80,9
Water relations of an invasive halophyte (Spartina patens): osmoregulation and ionic effects on xylem hydraulics,"Valentino Casolo, Martina Tomasella, Valentina De Col, Enrico Braidot, Tadeja Savi, Andrea Nardini",2014,10.1071/fp14172,https://doi.org/10.1071/fp14172,CSIRO Publishing,journal-article,71,19
"Bassiamide A, a new alkaloid from xero-halophyte
            <i>Bassia indica</i>
            Wight.","Ahmed Othman, Yhiya Amen, Masako Matsumoto, Maki Nagata, Kuniyoshi Shimizu",2021,10.1080/14786419.2021.1872572,https://doi.org/10.1080/14786419.2021.1872572,Informa UK Limited,journal-article,37,12
Isolation of powerful antioxidants from the medicinal halophyte Limoniastrum guyonianum,"Najla Trabelsi, Samia Oueslati, Hanen Falleh, Pierre Waffo-Téguo, Yorgos Papastamoulis, Jean-Michel Mérillon, Chedly Abdelly, Riadh Ksouri",2012,10.1016/j.foodchem.2012.05.120,https://doi.org/10.1016/j.foodchem.2012.05.120,Elsevier BV,journal-article,30,41
Tissue Localization and Distribution of As and Al in the Halophyte Tamarix gallica under Controlled Conditions,"Dhouha Belhaj Sghaier, Sílvia Pedro, Mário Sousa Diniz, Bernardo Duarte, Isabel Caçador, Noomene Sleimi",2016,10.3389/fmars.2016.00274,https://doi.org/10.3389/fmars.2016.00274,Frontiers Media SA,journal-article,78,18
"Anti-hair loss and hair care properties from tropical halophyte, seablite (Suaeda maritima) root extract","Kanittada Thongkao, Pimporn Thongmuang, Robert W. Owen, Yuttana Sudjaroen",2024,10.52711/0974-360x.2024.00912,https://doi.org/10.52711/0974-360x.2024.00912,A and V Publications,journal-article,49,0
<i>Najas marina</i> in Israel: It is a halophyte or a glycophyte?,"Moshe Agami, Amram Eshel, Yoav Waisel",1984,10.1111/j.1399-3054.1984.tb05182.x,https://doi.org/10.1111/j.1399-3054.1984.tb05182.x,Wiley,journal-article,20,9
A comparison of chelator-facilitated metal uptake by a halophyte and a glycophyte,"Fional. L. Jordan, Molly Robin-Abbott, Raina M. Maier, Edward P. Glenn",2002,10.1002/etc.5620211224,https://doi.org/10.1002/etc.5620211224,Oxford University Press (OUP),journal-article,24,61
Evaluating capability of two halophyte plants for phytoextraction of cadmium from contaminated soils,"Mahboubeh Mazhari, Safoora Asadi Kapourchal, Mehdi Homaee",2024,10.1080/26895293.2024.2313206,https://doi.org/10.1080/26895293.2024.2313206,Informa UK Limited,journal-article,51,1
"De novo transcriptome assembly and analysis of Phragmites karka, an invasive halophyte, to study the mechanism of salinity stress tolerance","Soumya Shree Nayak, Seema Pradhan, Dinabandhu Sahoo, Ajay Parida",2020,10.1038/s41598-020-61857-8,https://doi.org/10.1038/s41598-020-61857-8,Springer Science and Business Media LLC,journal-article,58,22
"Functional and expression analyses of two kinds of betaine aldehyde dehydrogenases in a glycinebetaine-hyperaccumulating graminaceous halophyte, Leymus chinensis","Shiro Mitsuya, Asumi Tsuchiya, Keiko Kono-Ozaki, Takashi Fujiwara, Teruhiro Takabe, Tetsuko Takabe",2015,10.1186/s40064-015-0997-4,https://doi.org/10.1186/s40064-015-0997-4,Springer Science and Business Media LLC,journal-article,66,9
"RNA-Seq Analysis of the Response of the Halophyte, Mesembryanthemum crystallinum (Ice Plant) to High Salinity","Hironaka Tsukagoshi, Takamasa Suzuki, Kouki Nishikawa, Sakae Agarie, Sumie Ishiguro, Tetsuya Higashiyama",2015,10.1371/journal.pone.0118339,https://doi.org/10.1371/journal.pone.0118339,Public Library of Science (PLoS),journal-article,38,65
Halophyte root powder: an alternative biofertilizer and carrier for saline land,"Tamoor Ul Hassan, Asghari Bano, Irum Naz",2018,10.1080/00380768.2018.1509676,https://doi.org/10.1080/00380768.2018.1509676,Informa UK Limited,journal-article,54,17
"Seed germination, growth, and osmotic adjustment in response to NaCl in a rare succulent halophyte from southeastern Spain","Juan A. Pujol, José F. Calvo, Luis Ramírez-Díaz",2001,10.1672/0277-5212(2001)021[0256:sggaoa]2.0.co;2,https://doi.org/10.1672/0277-5212(2001)021[0256:sggaoa]2.0.co;2,Springer Science and Business Media LLC,journal-article,45,38
Photosynthetic response and transcriptomic profiling provide insights  into the alkali tolerance of clone halophyte Leymus chinensis,"H. WANG, Y. XIANG, L.H. LI, N. BHANBHRO, C.W. YANG, Z. ZHANG",2020,10.32615/ps.2020.027,https://doi.org/10.32615/ps.2020.027,Institute of Experimental Botany,journal-article,53,9
NaCl protects against Cd and Cu-induced toxicity in the halophyte Atriplex halimus,"Insaf Bankaji, Noomene Sleimi, Aurelio Gómez-Cadenas, Rosa M. Pérez-Clemente",2016,10.5424/sjar/2016144-10117,https://doi.org/10.5424/sjar/2016144-10117,Editorial CSIC,journal-article,45,23
Cloning and Characterization of a Ca2+/H+ Antiporter from Halophyte Suaeda salsa L.,"Ning Han, Qun Shao, Huayin Bao, Baoshan Wang",2010,10.1007/s11105-010-0244-7,https://doi.org/10.1007/s11105-010-0244-7,Springer Science and Business Media LLC,journal-article,40,50
Maritime Halophyte Species from Southern Portugal as Sources of Bioactive Molecules,"Maria Rodrigues, Katkam Gangadhar, Catarina Vizetto-Duarte, Sileshi Wubshet, Nils Nyberg, Luísa Barreira, João Varela, Luísa Custódio",2014,10.3390/md12042228,https://doi.org/10.3390/md12042228,MDPI AG,journal-article,48,86
Elucidation of physiological and biochemical mechanisms of an endemic halophyte Centaurea tuzgoluensis under salt stress,"E. Yıldıztugay, A.H. Sekmen, I. Turkan, M. Kucukoduk",2011,10.1016/j.plaphy.2011.01.021,https://doi.org/10.1016/j.plaphy.2011.01.021,Elsevier BV,journal-article,56,67
Salinity influences the interactive effects of cadmium and zinc on ethylene and polyamine synthesis in the halophyte plant species Kosteletzkya pentacarpos,"Mingxi Zhou, Ruiming Han, Tahar Ghnaya, Stanley Lutts",2018,10.1016/j.chemosphere.2018.06.143,https://doi.org/10.1016/j.chemosphere.2018.06.143,Elsevier BV,journal-article,56,37
Enzymatic hydrolysis of inulin by an immobilized extremophilic inulinase from the halophile bacterium Alkalibacillus filiformis,"Mahsa Yousefi-Mokri, Ali Sharafi, Shahla Rezaei, Salar Sadeghian-Abadi, Somaye Imanparast, Mehdi Mogharabi-Manzari, Yaghoub Amanzadeh, Mohammad Ali Faramarzi",2019,10.1016/j.carres.2019.107746,https://doi.org/10.1016/j.carres.2019.107746,Elsevier BV,journal-article,41,17
Marine halophyte derived polyphenols inhibit glioma cell growth through mitogen-activated protein kinase signaling pathway,"Monica Murugesan, Meenakshisundaram Kandhavelu, Ramesh Thiyagarajan, Sankar Natesan, Priyatharsini Rajendran, Akshaya Murugesan",2023,10.1016/j.biopha.2023.114288,https://doi.org/10.1016/j.biopha.2023.114288,Elsevier BV,journal-article,58,6
"Effects of sodium, magnesium and calcium salts on seed germination and radicle survival of a halophyte,
                    <i>Kalidium caspicum</i>
                    (Chenopodiaceae)","Kazuo Tobe, Xiaoming Li, Kenji Omasa",2002,10.1071/bt01065,https://doi.org/10.1071/bt01065,CSIRO Publishing,journal-article,0,44
Comparative transcriptome analysis of the Asteraceae halophyte Karelinia caspica under salt stress,"Xia Zhang, Maoseng Liao, Dan Chang, Fuchun Zhang",2014,10.1186/1756-0500-7-927,https://doi.org/10.1186/1756-0500-7-927,Springer Science and Business Media LLC,journal-article,38,23
"Sesuvium portulacastrum (L.) L. a promising halophyte: cultivation, utilization and distribution in India","Vinayak Haribhau Lokhande, Tukaram Dayaram Nikam, Penna Suprasanna",2009,10.1007/s10722-009-9435-1,https://doi.org/10.1007/s10722-009-9435-1,Springer Science and Business Media LLC,journal-article,27,72
Salt Stimulation and Tolerance in an Intertidal Stem-Succulent Halophyte,"M. Ajmal Khan, Irwin A. Ungar, Allan M. Showalter",2005,10.1081/pln-200067462,https://doi.org/10.1081/pln-200067462,Informa UK Limited,journal-article,22,50
Halophytes for the Production of Liquid Biofuels,"J. Jed Brown, Iwona Cybulska, Tanmay Chaturvedi, Mette H. Thomsen",2014,10.1007/978-94-007-7411-7_4,https://doi.org/10.1007/978-94-007-7411-7_4,Springer Netherlands,book-chapter,17,10
"Phenolic content, antioxidant, anti-inflammatory and anticancer activities of the edible halophyte Suaeda fruticosa Forssk","Samia Oueslati, Riadh Ksouri, Hanen Falleh, André Pichette, Chedly Abdelly, Jean Legault",2012,10.1016/j.foodchem.2011.11.072,https://doi.org/10.1016/j.foodchem.2011.11.072,Elsevier BV,journal-article,30,120
Chemical Constituents of the Halophyte Vitex rotundifolia,"You Ah Kim, Hojun Kim, Kwang-Suk Oh, Youngwan Seo",2014,10.5012/jkcs.2014.58.6.686,https://doi.org/10.5012/jkcs.2014.58.6.686,Korean Chemical Society,journal-article,28,5
"The Impact of Salt Stress on Plant Growth, Mineral Composition, and Antioxidant Activity in Tetragonia decumbens Mill.: An Underutilized Edible Halophyte in South Africa","Avela Sogoni, Muhali Jimoh, Learnmore Kambizi, Charles Laubscher",2021,10.3390/horticulturae7060140,https://doi.org/10.3390/horticulturae7060140,MDPI AG,journal-article,72,64
"De novo transcriptome analysis unveils regulatory pathways associated with stress tolerance in a promising C3 model of halophyte, Suaeda salsa","Shima Jamalirad, Mohammad Reza Azimi, Nayer Azam Khoshkholgh Sima, Mehrshad Zeinalabedini, Laleh Karimi Farsad, Ghasem Hosseini Salekdeh, Mohammad Reza Ghaffari",2022,10.21203/rs.3.rs-2184361/v1,https://doi.org/10.21203/rs.3.rs-2184361/v1,Research Square Platform LLC,posted-content,57,0
"Transcriptome assembly, profiling and differential gene expression analysis of the halophyte Suaeda fruticosa provides insights into salt tolerance","Joann Diray-Arce, Mark Clement, Bilquees Gul, M Ajmal Khan, Brent L Nielsen",2015,10.1186/s12864-015-1553-x,https://doi.org/10.1186/s12864-015-1553-x,Springer Science and Business Media LLC,journal-article,90,66
Soil-Root Relationship in a Leaf Succulent Halophyte Suaeda vera from Differently Salt-Affected Habitats,"Naila Asghar, Mansoor Hameed, Muhammad Sajid Aqeel Ahmad, Farooq Ahmad",2023,10.1007/s11270-023-06407-4,https://doi.org/10.1007/s11270-023-06407-4,Springer Science and Business Media LLC,journal-article,56,4
The α-amylase gene amyH of the moderate halophile Halomonas meridiana: cloning and molecular characterization The EMBL accession number for the sequence reported in this paper is AJ239061.,"Marı́a-José Coronado, Carmen Vargas, Encarnación Mellado, Georgios Tegos, Constantin Drainas, Joaquı́n J. Nieto, Antonio Ventosa",2000,10.1099/00221287-146-4-861,https://doi.org/10.1099/00221287-146-4-861,Microbiology Society,journal-article,45,56
"Altered water relations, selective nutrient uptake, and reduced Na+ flux make Halopeplis perfoliata an obligate halophyte","Sarwat Ghulam RASOOL, Muhameed Zaheer AHMED, Abdul HAMEED, Bilquees GUL",2021,10.3906/bot-2103-25,https://doi.org/10.3906/bot-2103-25,The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM) - DIGITAL COMMONS JOURNALS,journal-article,0,1
Glyceraldehyde-3-phosphate Dehydrogenase Gene from Halophyte<i>Aeluropus lagopoides</i>: Identification and Characterization,"Mostafa Modarresi, Ghorban Ali Nematzadeh, Mohammad Zarein",2013,10.1080/15427528.2013.766294,https://doi.org/10.1080/15427528.2013.766294,Informa UK Limited,journal-article,20,6
"Effects of salinity on flowering, morphology, biomass accumulation and leaf metabolites in an edible halophyte","Y. Ventura, M. Myrzabayeva, Z. Alikulov, R. Omarov, I. Khozin-Goldberg, M. Sagi",2014,10.1093/aobpla/plu053,https://doi.org/10.1093/aobpla/plu053,Oxford University Press (OUP),journal-article,34,63
Proteomic responses in shoots of the facultative halophyte Aeluropus littoralis (Poaceae) under NaCl salt stress,"Wassim Azri, Zouhaier Barhoumi, Farhat Chibani, Manel Borji, Mouna Bessrour, Ahmed Mliki",2016,10.1071/fp16114,https://doi.org/10.1071/fp16114,CSIRO Publishing,journal-article,85,12
Soil aggregation and aggregate-associated organic carbon under typical natural halophyte communities in arid saline areas of Northwest China,"Zhibo CHENG, Jingya WANG, William J. GALE, Haichang YANG, Fenghua ZHANG",2020,10.1016/s1002-0160(17)60330-8,https://doi.org/10.1016/s1002-0160(17)60330-8,Elsevier BV,journal-article,44,15
Isolation of Polyphenols from Aqueous Extract of the Halophyte Salicornia ramosissima,"Malthe Fredsgaard, Job Tchoumtchoua, Stephan Kohnen, Tanmay Chaturvedi, Mette Hedegaard Thomsen",2023,10.3390/molecules29010220,https://doi.org/10.3390/molecules29010220,MDPI AG,journal-article,37,6
"DIFFERENCES IN GROWTH RATE AND SALT TOLERANCE BETWEEN VARIETIES OF THE HALOPHYTE CENTAURIUM LITTORALE (TURNER) GILMOUR, AND THEIR ECOLOGICAL SIGNIFICANCE","A. H. J. Freijsen, A. Van Dijk",1975,10.1111/j.1438-8677.1975.tb00989.x,https://doi.org/10.1111/j.1438-8677.1975.tb00989.x,Wiley,journal-article,25,6
Responses to salt stress in the halophyte Plantago crassifolia (Plantaginaceae),"Oscar Vicente, Monica Boscaiu, Miguel Ángel Naranjo, Elena Estrelles, José Marı́a Bellés, Pilar Soriano",2004,10.1016/j.jaridenv.2003.12.003,https://doi.org/10.1016/j.jaridenv.2003.12.003,Elsevier BV,journal-article,44,134
Hikarchaeia demonstrate an intermediate stage in the methanogen-to-halophile transition,"Joran Martijn, Max E. Schön, Anders E. Lind, Julian Vosseberg, Tom A. Williams, Anja Spang, Thijs J. G. Ettema",2020,10.1038/s41467-020-19200-2,https://doi.org/10.1038/s41467-020-19200-2,Springer Science and Business Media LLC,journal-article,89,50
"Halophile, an essential platform for bioproduction","Changli Liu, Dennis Kingsley Baffoe, Yuanlong Zhan, Mengying Zhang, Yahui Li, Guocai Zhang",2019,10.1016/j.mimet.2019.105704,https://doi.org/10.1016/j.mimet.2019.105704,Elsevier BV,journal-article,93,52
Halophyte-derived nanoparticles and biostimulants for sustainable crop production under abiotic stresses,"Rekha Agrawal, Soumya Koippully Manikandan, Maria Hasnain, John Klironomos, Mohamed S. Sheteiwy, Ali El-Keblawy",2025,10.1016/j.stress.2025.100934,https://doi.org/10.1016/j.stress.2025.100934,Elsevier BV,journal-article,133,2
"A salinity-induced gene from the halophyte M. crystallinum encodes a glycolytic enzyme, cofactor-independent phosphoglyceromutase","Nancy R. Forsthoefel, Daniel M. Vernon, John C. Cushman",1995,10.1007/bf00043647,https://doi.org/10.1007/bf00043647,Springer Science and Business Media LLC,journal-article,59,41
